bsr_state_id,bsr_state_name,current_selected_tsr_state_id,current_selected_tsr_state_name,current_mapping_type,suggested_decision_status,manual_decision,manual_tsr_state_id,reviewer_notes,applied_tsr_state_id,applied_mapping_type
1,Corsica,1,Corsica,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,1,same_id_same_area
2,STATE_2,2,Latium,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,2,split
3,STATE_3,847,STATE_847,merge,,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve,847,merge
4,STATE_4,4,STATE_4,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,4,split
5,STATE_5,5,STATE_5,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,5,split
6,Flanders,6,Flanders,merge,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,6,merge
7,STATE_7,7,STATE_7,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,7,split
8,STATE_8,8,STATE_8,merge,,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve,8,merge
9,STATE_9,9,STATE_9,split,,approve_selected,,Phase4a: conf=0.929 owner/core conflict auto approve,9,split
10,STATE_10,10,STATE_10,merge,,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve,10,merge
11,STATE_11,815,STATE_815,merge,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,815,merge
12,STATE_12,808,STATE_808,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,808,split
13,STATE_13,812,STATE_812,merge,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,812,merge
14,STATE_14,14,STATE_14,split,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,14,split
15,STATE_15,15,STATE_15,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,15,same_id_same_area
16,STATE_16,16,STATE_16,merge,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,16,merge
17,STATE_17,17,Lorraine,split,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,17,split
