bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
81,STATE_81,europe,81,STATE_81,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
84,STATE_84,europe,84,STATE_84,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=11
112,STATE_112,europe,112,STATE_112,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=5
120,STATE_120,europe,120,STATE_120,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
121,Lothian,europe,121,Lothian,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=6
122,STATE_122,europe,122,STATE_122,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
124,STATE_124,europe,124,STATE_124,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
125,STATE_125,europe,125,STATE_125,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=7
131,STATE_131,europe,131,STATE_131,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
133,Lanark,europe,133,Lanark,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
135,STATE_135,europe,135,STATE_135,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=10
136,STATE_136,europe,136,STATE_136,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=7
165,STATE_165,europe,165,STATE_165,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
167,STATE_167,europe,167,STATE_167,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=10
