bsr_state_id,bsr_state_name,current_selected_tsr_state_id,current_selected_tsr_state_name,current_mapping_type,suggested_decision_status,manual_decision,manual_tsr_state_id,reviewer_notes
855,STATE_855,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1517,STATE_1517,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1690,STATE_1690,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1691,STATE_1691,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1692,STATE_1692,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1694,STATE_1694,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1695,STATE_1695,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1696,STATE_1696,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1918,STATE_1918,1073,STATE_1073,merge,requires_manual,,,owner/controller/core conflict
378,STATE_378,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
887,STATE_887,69,STATE_69,split,requires_manual,,,owner/controller/core conflict
1430,STATE_1430,29,STATE_29,split,requires_manual,,,owner/controller/core conflict
1482,STATE_1482,29,STATE_29,split,requires_manual,,,owner/controller/core conflict
1839,STATE_1839,29,STATE_29,split,requires_manual,,,owner/controller/core conflict
1919,STATE_1919,1073,STATE_1073,split,requires_manual,,,owner/controller/core conflict
854,STATE_854,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1045,STATE_1045,44,STATE_44,merge,requires_manual,,,owner/controller/core conflict
1089,STATE_1089,29,STATE_29,split,requires_manual,,,owner/controller/core conflict
1510,STATE_1510,44,STATE_44,split,requires_manual,,,owner/controller/core conflict
1518,STATE_1518,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1601,STATE_1601,47,Thessaly,merge,requires_manual,,,owner/controller/core conflict
1689,STATE_1689,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
1693,STATE_1693,378,STATE_378,split,requires_manual,,,owner/controller/core conflict
791,STATE_791,55,STATE_55,merge,requires_manual,,,owner/controller/core conflict
835,STATE_835,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
837,STATE_837,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
838,STATE_838,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
840,STATE_840,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
850,STATE_850,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
851,STATE_851,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
1183,STATE_1183,28,Alsace-Lorraine,split,requires_manual,,,owner/controller/core conflict
1436,STATE_1436,28,Alsace-Lorraine,split,requires_manual,,,owner/controller/core conflict
1616,STATE_1616,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
1637,STATE_1637,142,STATE_142,merge,requires_manual,,,owner/controller/core conflict
1648,STATE_1648,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
1697,STATE_1697,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
1698,STATE_1698,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
1699,STATE_1699,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
1750,STATE_1750,325,STATE_325,merge,requires_manual,,,owner/controller/core conflict
1872,STATE_1872,160,STATE_160,merge,requires_manual,,,owner/controller/core conflict
1876,STATE_1876,28,Alsace-Lorraine,split,requires_manual,,,owner/controller/core conflict
1929,STATE_1929,1077,STATE_1077,merge,requires_manual,,,owner/controller/core conflict
29,STATE_29,29,STATE_29,split,requires_manual,,,owner/controller/core conflict
185,STATE_185,185,STATE_185,merge,requires_manual,,,owner/controller/core conflict
291,STATE_291,1011,STATE_1011,merge,requires_manual,,,owner/controller/core conflict
667,STATE_667,667,STATE_667,merge,requires_manual,,,owner/controller/core conflict
836,STATE_836,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
903,STATE_903,1031,STATE_1031,merge,requires_manual,,,owner/controller/core conflict
908,STATE_908,527,STATE_527,split,requires_manual,,,owner/controller/core conflict
911,STATE_911,1031,STATE_1031,split,requires_manual,,,owner/controller/core conflict
978,STATE_978,47,Thessaly,split,requires_manual,,,owner/controller/core conflict
986,STATE_986,160,STATE_160,split,requires_manual,,,owner/controller/core conflict
1025,STATE_1025,716,STATE_716,merge,requires_manual,,,owner/controller/core conflict
1061,STATE_1061,7,STATE_7,merge,requires_manual,,,owner/controller/core conflict
1112,STATE_1112,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1151,STATE_1151,150,KUOPIO,merge,requires_manual,,,owner/controller/core conflict
1202,STATE_1202,593,STATE_593,merge,requires_manual,,,owner/controller/core conflict
1203,STATE_1203,161,STATE_161,merge,requires_manual,,,owner/controller/core conflict
1244,STATE_1244,676,STATE_676,merge,requires_manual,,,owner/controller/core conflict
1274,STATE_1274,447,STATE_447,merge,requires_manual,,,owner/controller/core conflict
1303,STATE_1303,185,STATE_185,split,requires_manual,,,owner/controller/core conflict
1333,STATE_1333,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1362,STATE_1362,666,STATE_666,split,requires_manual,,,owner/controller/core conflict
1427,STATE_1427,185,STATE_185,split,requires_manual,,,owner/controller/core conflict
1453,STATE_1453,47,Thessaly,split,requires_manual,,,owner/controller/core conflict
1508,STATE_1508,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1513,STATE_1513,47,Thessaly,split,requires_manual,,,owner/controller/core conflict
1596,STATE_1596,161,STATE_161,split,requires_manual,,,owner/controller/core conflict
1630,Savo / Tavastland / Tavastia,148,LAPPI,merge,requires_manual,,,owner/controller/core conflict
1655,STATE_1655,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1700,STATE_1700,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1701,STATE_1701,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
1710,STATE_1710,9,STATE_9,merge,requires_manual,,,owner/controller/core conflict
1767,STATE_1767,55,STATE_55,split,requires_manual,,,owner/controller/core conflict
1794,STATE_1794,325,STATE_325,merge,requires_manual,,,owner/controller/core conflict
1912,STATE_1912,1071,STATE_1071,merge,requires_manual,,,owner/controller/core conflict
1949,Mysore,425,Mysore,split,requires_manual,,,owner/controller/core conflict
63,STATE_63,63,STATE_63,split,requires_manual,,,owner/controller/core conflict
144,STATE_144,925,STATE_925,merge,requires_manual,,,owner/controller/core conflict
187,STATE_187,187,STATE_187,split,requires_manual,,,owner/controller/core conflict
719,STATE_719,719,Natal,split,requires_manual,,,owner/controller/core conflict
799,STATE_799,50,Württemberg,merge,requires_manual,,,owner/controller/core conflict
839,STATE_839,357,STATE_357,split,requires_manual,,,owner/controller/core conflict
852,STATE_852,375,STATE_375,split,requires_manual,,,owner/controller/core conflict
863,STATE_863,88,STATE_88,split,requires_manual,,,owner/controller/core conflict
889,STATE_889,70,STATE_70,split,requires_manual,,,owner/controller/core conflict
896,STATE_896,772,Middle Congo (Brazzaville),split,requires_manual,,,owner/controller/core conflict
977,STATE_977,185,STATE_185,split,requires_manual,,,owner/controller/core conflict
988,STATE_988,158,STATE_158,split,requires_manual,,,owner/controller/core conflict
996,STATE_996,88,STATE_88,split,requires_manual,,,owner/controller/core conflict
1023,STATE_1023,716,STATE_716,split,requires_manual,,,owner/controller/core conflict
1024,STATE_1024,328,Kirin,merge,requires_manual,,,owner/controller/core conflict
1049,STATE_1049,274,STATE_274,split,requires_manual,,,owner/controller/core conflict
1058,STATE_1058,35,STATE_35,split,requires_manual,,,owner/controller/core conflict
1093,STATE_1093,1071,STATE_1071,split,requires_manual,,,owner/controller/core conflict
1142,STATE_1142,212,STATE_212,split,requires_manual,,,owner/controller/core conflict
1143,STATE_1143,212,STATE_212,split,requires_manual,,,owner/controller/core conflict
1149,STATE_1149,976,STATE_976,merge,requires_manual,,,owner/controller/core conflict
1181,STATE_1181,88,STATE_88,split,requires_manual,,,owner/controller/core conflict
1246,STATE_1246,676,STATE_676,split,requires_manual,,,owner/controller/core conflict
1328,STATE_1328,65,STATE_65,split,requires_manual,,,owner/controller/core conflict
1351,STATE_1351,158,STATE_158,split,requires_manual,,,owner/controller/core conflict
1361,STATE_1361,148,LAPPI,split,requires_manual,,,owner/controller/core conflict
1398,STATE_1398,119,STATE_119,split,requires_manual,,,owner/controller/core conflict
1399,STATE_1399,119,STATE_119,split,requires_manual,,,owner/controller/core conflict
1432,STATE_1432,55,STATE_55,split,requires_manual,,,owner/controller/core conflict
1435,STATE_1435,6,Flanders,split,requires_manual,,,owner/controller/core conflict
1486,STATE_1486,212,STATE_212,split,requires_manual,,,owner/controller/core conflict
1577,STATE_1577,459,Algiers,merge,requires_manual,,,owner/controller/core conflict
1599,STATE_1599,88,STATE_88,split,requires_manual,,,owner/controller/core conflict
1611,STATE_1611,65,STATE_65,split,requires_manual,,,owner/controller/core conflict
1737,STATE_1737,88,STATE_88,split,requires_manual,,,owner/controller/core conflict
