tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes
2,Latium,906,STATE_906,manual,0.200,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ITA PAP; bsr_tags=JAP KOR
2,Latium,990,STATE_990,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=1
2,Latium,2,STATE_2,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
2,Latium,1193,STATE_1193,merge,0.200,split+merge; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=2
2,Latium,117,STATE_117,merge,0.167,split+merge; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=2
3,STATE_3,151,STATE_151,merge,0.500,split+merge; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=2
3,STATE_3,3,STATE_3,merge,0.400,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=3
3,STATE_3,892,STATE_892,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2
4,STATE_4,4,STATE_4,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
4,STATE_4,1679,STATE_1679,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1
4,STATE_4,807,STATE_807,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1
5,STATE_5,5,STATE_5,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/4; bsr_source_count=1
5,STATE_5,1409,STATE_1409,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
5,STATE_5,1811,STATE_1811,split,0.667,split; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=1
5,STATE_5,1408,STATE_1408,split,0.500,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
6,Flanders,6,Flanders,merge,0.750,split+merge; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=2
6,Flanders,1435,STATE_1435,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
7,STATE_7,7,STATE_7,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
7,STATE_7,1061,STATE_1061,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2
8,STATE_8,1200,STATE_1200,manual,0.500,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=GER LUX; bsr_tags=USA
8,STATE_8,8,STATE_8,merge,0.500,merge; province_overlap=1; bsr_source_count=2
9,STATE_9,9,STATE_9,split,0.929,split; province_overlap=13; tsr_overlap_rank=1/2; bsr_source_count=1
