tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes,bsr_continent,tsr_owner,bsr_owner,tsr_controller,bsr_controller,tsr_cores,bsr_cores
2,Latium,2,STATE_2,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1,europe,ITA,ITA,,,ITA PAP,ITA
4,STATE_4,4,STATE_4,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1,europe,GER,AUS,GER,GER,AUS GER,AUS GER
5,STATE_5,5,STATE_5,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/4; bsr_source_count=1,europe,GER,GER,,GER,GER PRE,GER POL PRE
7,STATE_7,7,STATE_7,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HOL,HOL,,GER,HOL,HOL
808,STATE_808,12,STATE_12,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1,europe,RUS,LAT,,SOV,LAT,LAT LIV
812,STATE_812,13,STATE_13,merge,1.000,merge; province_overlap=4; bsr_source_count=3,europe,RUS,EST,,SOV,EST,EST
19,STATE_19,19,STATE_19,merge,1.000,merge; province_overlap=5; bsr_source_count=2,europe,FRA,FRA,,GER,FRA OCC,FRA OCC
21,Bouches-du-Rhône (Formerly Provence before Var split off),21,STATE_21,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1,europe,FRA,FRA,,,FRA OCC,FRA OCC
26,Auveregne,26,STATE_26,split,1.000,split; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=1,europe,FRA,FRA,,,FRA OCC,FRA OCC
27,Bourgogne,27,STATE_27,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/8; bsr_source_count=1,europe,FRA,FRA,,GER,FRA,BGN FRA
29,STATE_29,29,STATE_29,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1,europe,BEL,FRA,,GER,FRA,FRA
30,STATE_30,30,STATE_30,split,1.000,split; province_overlap=3; tsr_overlap_rank=3/4; bsr_source_count=1,europe,FRA,FRA,,GER,FRA,FRA
32,STATE_32,32,STATE_32,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,europe,FRA,FRA,,,FRA OCC,FRA
34,STATE_34,34,STATE_34,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1,europe,BEL,BEL,,GER,BEL,BEL BRB WLL
35,STATE_35,35,STATE_35,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/5; bsr_source_count=1,europe,HOL,HOL,,GER,HOL,BRB HOL
36,STATE_36,36,STATE_36,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1,europe,HOL,HOL,,GER,HOL,FRS HOL
