bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
887,STATE_887,europe,69,STATE_69,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1
1430,STATE_1430,europe,29,STATE_29,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1
1482,STATE_1482,europe,29,STATE_29,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1
1839,STATE_1839,europe,29,STATE_29,split,1.000,1,10,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
1045,STATE_1045,europe,44,STATE_44,merge,0.667,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=2
1089,STATE_1089,europe,29,STATE_29,split,1.000,1,9,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
1510,STATE_1510,europe,44,STATE_44,split,1.000,1,9,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
1601,STATE_1601,europe,47,Thessaly,merge,0.500,2,9,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=2
791,STATE_791,europe,55,STATE_55,merge,0.500,2,8,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2
1183,STATE_1183,europe,28,Alsace-Lorraine,split,0.500,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/7; bsr_source_count=1
1436,STATE_1436,europe,28,Alsace-Lorraine,split,0.400,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/7; bsr_source_count=1
1637,STATE_1637,europe,142,STATE_142,merge,0.600,4,8,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=2/3; bsr_source_count=4
1872,STATE_1872,europe,160,STATE_160,merge,0.500,2,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=2
1876,STATE_1876,europe,28,Alsace-Lorraine,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/7; bsr_source_count=1
29,STATE_29,europe,29,STATE_29,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1
