bsr_state_id,bsr_state_name,bsr_state_key,tsr_state_id,tsr_state_name,vanilla_english_name,is_split,ratio,bsr_province_count
1,Corsica,STATE_1,1,Corsica,Corsica,False,1.000,3
10,STATE_10,STATE_10,10,STATE_10,Warsaw,False,1.000,6
100,STATE_100,STATE_100,100,STATE_100,Iceland,False,1.000,6
1000,STATE_1000,STATE_1000,1000,STATE_1000,East Azerbaijan,False,1.000,13
1001,STATE_1001,STATE_1001,1001,STATE_1001,Kurdistan,False,1.000,2
1002,STATE_1002,STATE_1002,1002,STATE_1002,Yazd,False,1.000,5
1003,STATE_1003,STATE_1003,1003,STATE_1003,South Khorasan,False,1.000,2
1004,STATE_1004,STATE_1004,1004,STATE_1004,North Khorasan,False,1.000,1
1005,STATE_1005,STATE_1005,1005,STATE_1005,Qataghan,False,1.000,2
1006,STATE_1006,STATE_1006,1006,STATE_1006,Khyber Pass,False,1.000,2
1007,STATE_1007,STATE_1007,1007,STATE_1007,Maymanah,False,1.000,9
1008,STATE_1008,STATE_1008,1008,STATE_1008,Qandahar,False,1.000,17
1009,STATE_1009,STATE_1009,1009,STATE_1009,Farah,False,1.000,21
101,STATE_101,STATE_101,101,STATE_101,Greenland,False,1.000,6
1010,STATE_1010,STATE_1010,1010,STATE_1010,Al Anbar,False,1.000,11
1011,STATE_1011,STATE_1011,1011,STATE_1011,Al Basrah,False,1.000,11
1012,STATE_1012,STATE_1012,1012,STATE_1012,Kalat,False,1.000,9
1013,STATE_1013,STATE_1013,1013,STATE_1013,Musandam,False,1.000,4
1014,STATE_1014,STATE_1014,1014,STATE_1014,Bahrain,False,1.000,14
1015,STATE_1015,STATE_1015,1015,STATE_1015,Oman,False,1.000,16
1016,STATE_1016,STATE_1016,1016,STATE_1016,Dhofar,False,1.000,6
1017,STATE_1017,STATE_1017,1017,STATE_1017,Da Nang,False,1.000,22
1018,STATE_1018,STATE_1018,1018,South Kyushu,Minami Kyūshū,False,1.000,6
1019,STATE_1019,STATE_1019,1019,South Tohoku,Minami Tohoku,False,1.000,11
102,STATE_102,STATE_102,102,STATE_102,North Slovenia,False,1.000,2
1020,STATE_1020,STATE_1020,1020,San'in,San'in,False,1.000,6
1021,STATE_1021,STATE_1021,1021,STATE_1021,Singapore,False,1.000,7
1022,STATE_1022,STATE_1022,1022,STATE_1022,Interior Borneo,False,1.000,13
1023,STATE_1023,STATE_1023,1023,STATE_1023,Brunei,False,1.000,6
1024,STATE_1024,STATE_1024,1024,STATE_1024,Sabah,False,1.000,16
1025,STATE_1025,STATE_1025,1025,STATE_1025,Zamboanga,False,1.000,6
1026,STATE_1026,STATE_1026,1026,STATE_1026,Northern Mindanao,False,1.000,11
1027,STATE_1027,STATE_1027,1027,Bataan,Bataan,False,1.000,8
1028,STATE_1028,STATE_1028,1028,STATE_1028,Hamgyong,False,1.000,1
1029,STATE_1029,STATE_1029,1029,STATE_1029,Gangwon,False,1.000,3
103,STATE_103,STATE_103,103,Dalmatia,Dalmatia,False,1.000,2
1030,STATE_1030,STATE_1030,1030,STATE_1030,Gyeongsang,False,1.000,8
1031,STATE_1031,STATE_1031,1031,STATE_1031,Chungcheong-Jeolla,False,1.000,4
1032,STATE_1032,STATE_1032,1032,STATE_1032,Yan'an,False,1.000,1
1033,STATE_1033,STATE_1033,1033,STATE_1033,Nanlu,False,1.000,1
1034,STATE_1034,STATE_1034,1034,STATE_1034,Suzhou,False,1.000,2
1035,STATE_1035,STATE_1035,1035,STATE_1035,Nanjing,False,1.000,4
1036,STATE_1036,STATE_1036,1036,STATE_1036,Wuhan,False,1.000,1
1037,STATE_1037,STATE_1037,1037,STATE_1037,Chongqing,False,1.000,1
1038,STATE_1038,STATE_1038,1038,STATE_1038,Jinan,False,1.000,1
1039,STATE_1039,STATE_1039,1039,South Chahar,Hebei-Chahar,False,1.000,1
104,STATE_104,STATE_104,104,STATE_104,Bosnia,False,1.000,3
1040,STATE_1040,STATE_1040,1040,STATE_1040,Alxa,False,1.000,1
1041,STATE_1041,STATE_1041,1041,STATE_1041,Chengdu,False,1.000,6
1042,STATE_1042,STATE_1042,1042,STATE_1042,Khotan,False,1.000,11
1043,STATE_1043,STATE_1043,1043,STATE_1043,Pailingmiao,False,1.000,1
1044,STATE_1044,STATE_1044,1044,STATE_1044,Wuwei,False,1.000,1
1045,STATE_1045,STATE_1045,1045,STATE_1045,Guyuan,False,1.000,3
1046,STATE_1046,STATE_1046,1046,STATE_1046,Yulin,False,1.000,3
