bsr_state_id,bsr_state_name,tsr_state_id,tsr_state_name,issue
2,STATE_2,2,Latium,victory_points province 13432 not in BSR state 2
4,STATE_4,4,STATE_4,victory_points province 732 not in BSR state 4
6,Flanders,6,Flanders,victory_points province 516 not in BSR state 6
7,STATE_7,7,STATE_7,victory_points province 9498 not in BSR state 7
10,STATE_10,10,STATE_10,victory_points province 402 not in BSR state 10
11,STATE_11,815,STATE_815,victory_points province 6229 not in BSR state 11
14,STATE_14,14,STATE_14,victory_points province 3552 not in BSR state 14
17,STATE_17,17,Lorraine,victory_points province 9642 not in BSR state 17
18,STATE_18,1062,STATE_1062,victory_points province 9490 not in BSR state 18
20,STATE_20,20,Rhone,victory_points province 6613 not in BSR state 20
24,STATE_24,24,STATE_24,victory_points province 3671 not in BSR state 24
28,STATE_28,978,Baden,victory_points province 3530 not in BSR state 28
29,STATE_29,29,STATE_29,victory_points province 575 not in BSR state 29
29,STATE_29,29,STATE_29,victory_points province 11483 not in BSR state 29
29,STATE_29,29,STATE_29,victory_points province 11548 not in BSR state 29
30,STATE_30,30,STATE_30,victory_points province 11465 not in BSR state 30
34,STATE_34,34,STATE_34,victory_points province 9536 not in BSR state 34
35,STATE_35,35,STATE_35,victory_points province 11562 not in BSR state 35
36,STATE_36,36,STATE_36,victory_points province 6241 not in BSR state 36
36,STATE_36,36,STATE_36,victory_points province 9363 not in BSR state 36
36,STATE_36,36,STATE_36,victory_points province 9335 not in BSR state 36
39,STATE_39,39,(South Tyrol) Alto Adige,victory_points province 11598 not in BSR state 39
41,STATE_41,41,STATE_41,victory_points province 858 not in BSR state 41
42,STATE_42,42,STATE_42,victory_points province 11435 not in BSR state 42
42,STATE_42,42,STATE_42,victory_points province 9575 not in BSR state 42
42,STATE_42,42,STATE_42,victory_points province 11531 not in BSR state 42
43,Northern Hungary,43,Northern Hungary,victory_points province 6751 not in BSR state 43
44,STATE_44,44,STATE_44,victory_points province 13255 not in BSR state 44
44,STATE_44,44,STATE_44,victory_points province 6900 not in BSR state 44
45,STATE_45,45,STATE_45,victory_points province 9608 not in BSR state 45
47,STATE_47,47,Thessaly,victory_points province 3973 not in BSR state 47
47,STATE_47,47,Thessaly,victory_points province 7127 not in BSR state 47
47,STATE_47,47,Thessaly,victory_points province 3988 not in BSR state 47
48,STATE_48,48,STATE_48,victory_points province 9771 not in BSR state 48
49,STATE_49,49,Ankara,victory_points province 804 not in BSR state 49
49,STATE_49,49,Ankara,victory_points province 3951 not in BSR state 49
50,STATE_50,50,Württemberg,victory_points province 9517 not in BSR state 50
51,STATE_51,51,STATE_51,victory_points province 6469 not in BSR state 51
51,STATE_51,51,STATE_51,victory_points province 587 not in BSR state 51
53,STATE_53,53,STATE_53,victory_points province 9515 not in BSR state 53
54,STATE_54,54,STATE_54,victory_points province 6421 not in BSR state 54
54,STATE_54,54,STATE_54,victory_points province 9557 not in BSR state 54
55,STATE_55,55,STATE_55,victory_points province 6488 not in BSR state 55
55,STATE_55,55,STATE_55,victory_points province 6444 not in BSR state 55
55,STATE_55,55,STATE_55,victory_points province 11560 not in BSR state 55
56,STATE_56,56,STATE_56,victory_points province 241 not in BSR state 56
56,STATE_56,56,STATE_56,victory_points province 11360 not in BSR state 56
58,STATE_58,58,STATE_58,victory_points province 9347 not in BSR state 58
59,STATE_59,58,STATE_58,victory_points province 6389 not in BSR state 59
60,STATE_60,60,STATE_60,victory_points province 425 not in BSR state 60
62,STATE_62,62,STATE_62,victory_points province 3258 not in BSR state 62
63,STATE_63,63,STATE_63,victory_points province 6282 not in BSR state 63
63,STATE_63,63,STATE_63,victory_points province 11372 not in BSR state 63
65,STATE_65,65,STATE_65,victory_points province 3535 not in BSR state 65
65,STATE_65,65,STATE_65,victory_points province 9471 not in BSR state 65
66,STATE_66,66,STATE_66,victory_points province 552 not in BSR state 66
67,STATE_67,67,STATE_67,victory_points province 11467 not in BSR state 67
67,STATE_67,67,STATE_67,victory_points province 9511 not in BSR state 67
69,STATE_69,69,STATE_69,victory_points province 11401 not in BSR state 69
70,STATE_70,70,STATE_70,victory_points province 11539 not in BSR state 70
70,STATE_70,70,STATE_70,victory_points province 541 not in BSR state 70
73,STATE_73,73,STATE_73,victory_points province 6571 not in BSR state 73
76,STATE_76,76,STATE_76,victory_points province 9672 not in BSR state 76
76,STATE_76,76,STATE_76,victory_points province 9670 not in BSR state 76
78,STATE_78,78,STATE_78,victory_points province 3707 not in BSR state 78
79,STATE_79,79,STATE_79,victory_points province 6706 not in BSR state 79
88,STATE_88,88,STATE_88,victory_points province 9427 not in BSR state 88
88,STATE_88,88,STATE_88,victory_points province 442 not in BSR state 88
88,STATE_88,88,STATE_88,victory_points province 9494 not in BSR state 88
92,STATE_92,92,STATE_92,victory_points province 11399 not in BSR state 92
93,STATE_93,93,STATE_93,victory_points province 422 not in BSR state 93
94,STATE_94,94,STATE_94,victory_points province 3392 not in BSR state 94
94,STATE_94,94,STATE_94,victory_points province 560 not in BSR state 94
97,STATE_97,97,STATE_97,victory_points province 3393 not in BSR state 97
97,STATE_97,97,STATE_97,victory_points province 3254 not in BSR state 97
98,STATE_98,98,STATE_98,victory_points province 3230 not in BSR state 98
