bsr_state_id,bsr_state_name,tsr_state_id,tsr_state_name,tsr_owner,bsr_owner,tsr_controller,bsr_controller,tsr_cores,bsr_cores
1,Corsica,1,Corsica,ITA,FRA,ITA,,COR FRA ITA,COR FRA
2,STATE_2,2,Latium,ITA,ITA,,,ITA PAP,ITA
4,STATE_4,4,STATE_4,GER,AUS,GER,GER,AUS GER,AUS GER
5,STATE_5,5,STATE_5,GER,GER,,GER,GER PRE,GER POL PRE
6,Flanders,6,Flanders,BEL,BEL,,GER,BEL,BEL FLA
7,STATE_7,7,STATE_7,HOL,HOL,,GER,HOL,HOL
8,STATE_8,8,STATE_8,GER,LUX,,GER,GER LUX,LUX
9,STATE_9,9,STATE_9,CZE,CZE,GER,PBM,CZE,CZE PBM
10,STATE_10,10,STATE_10,RUS,POL,,GGO,POL,POL
11,STATE_11,815,STATE_815,RUS,LIT,,SOV,LIT,LIT
12,STATE_12,808,STATE_808,RUS,LAT,,SOV,LAT,LAT LIV
13,STATE_13,812,STATE_812,RUS,EST,,SOV,EST,EST
14,STATE_14,14,STATE_14,FRA,FRA,,GER,BRI FRA,BRI FRA
15,STATE_15,15,STATE_15,FRA,FRA,,GER,FRA,FRA NRM
16,STATE_16,16,STATE_16,FRA,FRA,,GER,FRA,FRA
17,STATE_17,17,Lorraine,FRA,FRA,,GER,FRA,BGN FRA
18,STATE_18,1062,STATE_1062,FRA,FRA,,GER,FRA,BGN FRA
19,STATE_19,19,STATE_19,FRA,FRA,,GER,FRA OCC,FRA OCC
23,STATE_23,23,STATE_23,FRA,FRA,,GER,FRA,FRA
24,STATE_24,24,STATE_24,FRA,FRA,,GER,FRA,FRA
27,STATE_27,27,Bourgogne,FRA,FRA,,GER,FRA,BGN FRA
28,STATE_28,978,Baden,GER,FRA,,GER,GER WUR,ALS FRA
29,STATE_29,29,STATE_29,BEL,FRA,,GER,FRA,FRA
30,STATE_30,30,STATE_30,FRA,FRA,,GER,FRA,FRA
32,STATE_32,32,STATE_32,FRA,FRA,,,FRA OCC,FRA
34,STATE_34,34,STATE_34,BEL,BEL,,GER,BEL,BEL BRB WLL
35,STATE_35,35,STATE_35,HOL,HOL,,GER,HOL,BRB HOL
