tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes
2,Latium,906,STATE_906,manual,0.200,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ITA PAP; bsr_tags=JAP KOR
8,STATE_8,1200,STATE_1200,manual,0.500,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=GER LUX; bsr_tags=USA
18,STATE_18,1754,STATE_1754,manual,0.333,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=FRA; bsr_tags=BEL GER WLL
37,STATE_37,900,STATE_900,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=DEN; bsr_tags=ENG NGA
99,STATE_99,1131,STATE_1131,manual,0.400,incompatible province overlap rejected for automatic overlay; province_overlap=2; tsr_tags=DEN; bsr_tags=AFG BAL
99,STATE_99,874,STATE_874,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=DEN; bsr_tags=EGY
100,STATE_100,884,STATE_884,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ICE; bsr_tags=CZE GER MRV SIL
100,STATE_100,889,STATE_889,manual,0.500,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ICE; bsr_tags=CZE SLO
100,STATE_100,891,STATE_891,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ICE; bsr_tags=LAT LIV SOV
100,STATE_100,897,STATE_897,manual,0.500,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ICE; bsr_tags=FRA GAB
103,Dalmatia,472,STATE_472,manual,0.091,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=CRO YUG; bsr_tags=CAN
120,STATE_120,163,STATE_163,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ENG SCO; bsr_tags=CRO ITA YUG
120,STATE_120,895,STATE_895,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ENG SCO; bsr_tags=FRA RCG
195,STATE_195,1639,STATE_1639,manual,0.400,incompatible province overlap rejected for automatic overlay; province_overlap=2; tsr_tags=RUS; bsr_tags=SOV
195,STATE_195,1685,STATE_1685,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=RUS; bsr_tags=SOV
201,STATE_201,194,Mozyr,manual,0.143,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=RUS UKR; bsr_tags=BLR SOV
202,STATE_202,194,Mozyr,manual,0.143,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=RUS UKR; bsr_tags=BLR SOV
208,Luga,1639,STATE_1639,manual,0.600,incompatible province overlap rejected for automatic overlay; province_overlap=3; tsr_tags=RUS; bsr_tags=SOV
