state 10: split/merge VP added province 3544 (from 402, value=1.0)
state 1005: split/merge VP added province 12434 (from 7661, value=10.0)
state 1005: split/merge VP added province 12434 (from 11674, value=1.0)
state 1006: split/merge VP added province 6412 (from 9279, value=5.0)
state 1006: split/merge VP added province 6412 (from 11215, value=1.0)
state 1006: split/merge VP added province 6412 (from 6345, value=1.0)
state 1007: split/merge VP added province 9185 (from 6050, value=20.0)
state 1007: split/merge VP added province 9185 (from 9149, value=3.0)
state 1009: split/merge VP added province 46 (from 11148, value=1.0)
state 1012: split/merge VP added province 9157 (from 3136, value=3.0)
state 1017: split/merge VP added province 10704 (from 4801, value=10.0)
state 1018: split/merge VP added province 10708 (from 12557, value=1.0)
state 1020: split/merge VP added province 4856 (from 12612, value=1.0)
state 1022: split/merge VP added province 3932 (from 4572, value=1.0)
state 1022: split/merge VP added province 6947 (from 10433, value=1.0)
state 1023: split/merge VP added province 6804 (from 11771, value=3.0)
state 1023: split/merge VP added province 3970 (from 11764, value=1.0)
state 1024: split/merge VP added province 11850 (from 4572, value=1.0)
state 1024: split/merge VP added province 3947 (from 10433, value=1.0)
state 1025: split/merge VP added province 846 (from 11771, value=3.0)
state 1025: split/merge VP added province 9835 (from 11764, value=1.0)
state 1026: split/merge VP added province 7652 (from 10433, value=1.0)
state 103: split/merge VP added province 11816 (from 6889, value=3.0)
state 103: split/merge VP added province 3974 (from 3924, value=3.0)
state 104: split/merge VP added province 6799 (from 11899, value=5.0)
state 104: split/merge VP added province 11572 (from 6983, value=3.0)
state 1045: split/merge VP added province 6900 (from 9914, value=5.0)
state 1045: split/merge VP added province 914 (from 11767, value=2.0)
state 1045: split/merge VP added province 914 (from 13255, value=2.0)
state 1047: split/merge VP added province 11741 (from 11899, value=5.0)
state 1047: split/merge VP added province 606 (from 6983, value=3.0)
state 1048: split/merge VP added province 9591 (from 11899, value=5.0)
state 1049: split/merge VP added province 12785 (from 10862, value=2.0)
state 1049: split/merge VP added province 12785 (from 12787, value=1.0)
state 105: split/merge VP added province 9809 (from 9821, value=1.0)
state 1058: split/merge VP added province 480 (from 3262, value=5.0)
state 1058: split/merge VP added province 480 (from 6496, value=3.0)
state 1058: split/merge VP added province 480 (from 11562, value=1.0)
state 1059: split/merge VP added province 9363 (from 6241, value=5.0)
