tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes,resources
3,STATE_3,151,STATE_151,merge,0.500,split+merge; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=2,	resources={ 	}
3,STATE_3,3,STATE_3,merge,0.400,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=3,	resources={ 	}
3,STATE_3,892,STATE_892,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2,	resources={ 	}
4,STATE_4,4,STATE_4,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1, 	resources = { 		oil = 2  	}
4,STATE_4,1679,STATE_1679,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1, 	resources = { 		oil = 2  	}
4,STATE_4,807,STATE_807,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1, 	resources = { 		oil = 2  	}
6,Flanders,6,Flanders,merge,0.750,split+merge; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=2," 	resources = { 		steel = 4 # was: 48, then 25 then 15 	}"
6,Flanders,1435,STATE_1435,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1," 	resources = { 		steel = 4 # was: 48, then 25 then 15 	}"
7,STATE_7,7,STATE_7,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,	resources={ 		steel=4.000 	}
7,STATE_7,1061,STATE_1061,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2,	resources={ 		steel=4.000 	}
8,STATE_8,8,STATE_8,merge,0.500,merge; province_overlap=1; bsr_source_count=2,	resources = { 		steel = 14 # was: 5 	}
9,STATE_9,9,STATE_9,split,0.929,split; province_overlap=13; tsr_overlap_rank=1/2; bsr_source_count=1,	resources={ 		steel = 5 # was: 8 		coal = 6 # initial distribution / 60 total 	}
9,STATE_9,1710,STATE_1710,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2,	resources={ 		steel = 5 # was: 8 		coal = 6 # initial distribution / 60 total 	}
12,STATE_12,1454,STATE_1454,merge,1.000,merge; province_overlap=5; bsr_source_count=3,	resources={ 		steel=1 # was: 2 	}
13,STATE_13,191,STATE_191,merge,0.667,split+merge; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=3,	resources={ 		steel=2.000 	}
13,STATE_13,13,STATE_13,merge,0.333,split+merge; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=3,	resources={ 		steel=2.000 	}
17,Lorraine,17,STATE_17,split,0.600,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1,	 	resources={ 		steel=28 # was: 48 	}
17,Lorraine,1733,STATE_1733,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/6; bsr_source_count=1,	 	resources={ 		steel=28 # was: 48 	}
17,Lorraine,1581,STATE_1581,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1,	 	resources={ 		steel=28 # was: 48 	}
17,Lorraine,2041,STATE_2041,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=1,	 	resources={ 		steel=28 # was: 48 	}
17,Lorraine,817,STATE_817,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=2,	 	resources={ 		steel=28 # was: 48 	}
17,Lorraine,1734,STATE_1734,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2,	 	resources={ 		steel=28 # was: 48 	}
19,STATE_19,19,STATE_19,merge,1.000,merge; province_overlap=5; bsr_source_count=2,	resources={ 		steel=14 #was 25 		aluminium=11 	}
20,Rhone,20,STATE_20,merge,0.833,split+merge; province_overlap=5; tsr_overlap_rank=1/7; bsr_source_count=2,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1185,STATE_1185,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/7; bsr_source_count=1,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1800,STATE_1800,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/7; bsr_source_count=1,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1730,STATE_1730,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/7; bsr_source_count=1,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1734,STATE_1734,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=5/7; bsr_source_count=2,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1270,STATE_1270,split,1.000,split; province_overlap=1; tsr_overlap_rank=6/7; bsr_source_count=1,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
20,Rhone,1799,STATE_1799,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=7/7; bsr_source_count=2,	resources={ 		steel=32 # was 60 was: 128 		aluminium=35 # was: 72 	}
21,Bouches-du-Rhône (Formerly Provence before Var split off),1842,STATE_1842,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1,	resources={ 		aluminium=60 # was: 120 	}
21,Bouches-du-Rhône (Formerly Provence before Var split off),21,STATE_21,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1,	resources={ 		aluminium=60 # was: 120 	}
21,Bouches-du-Rhône (Formerly Provence before Var split off),1801,STATE_1801,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2,	resources={ 		aluminium=60 # was: 120 	}
22,Languedoc,1654,STATE_1654,merge,0.833,split+merge; province_overlap=5; tsr_overlap_rank=1/4; bsr_source_count=2,	 	resources={ 		steel=27 #was:70 was: 136 		aluminium=50 # was: 96 	}
22,Languedoc,22,Languedoc,split,0.750,split; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=1,	 	resources={ 		steel=27 #was:70 was: 136 		aluminium=50 # was: 96 	}
22,Languedoc,1760,STATE_1760,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=1,	 	resources={ 		steel=27 #was:70 was: 136 		aluminium=50 # was: 96 	}
22,Languedoc,1759,Languedoc,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1,	 	resources={ 		steel=27 #was:70 was: 136 		aluminium=50 # was: 96 	}
23,STATE_23,23,STATE_23,merge,0.875,split+merge; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=2,	 	resources={ 		steel=12 #was:30 was: 48 	}
23,STATE_23,1186,STATE_1186,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1,	 	resources={ 		steel=12 #was:30 was: 48 	}
25,STATE_25,25,STATE_25,merge,0.923,split+merge; province_overlap=12; tsr_overlap_rank=1/2; bsr_source_count=3, 	resources = { 		coal = 2 #initial distribution / 140 total 	}
25,STATE_25,31,STATE_31,merge,0.091,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2, 	resources = { 		coal = 2 #initial distribution / 140 total 	}
26,Auveregne,26,STATE_26,split,1.000,split; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=1,	 	resources = { 		coal = 2 # initial distribution / 140 total 	}
26,Auveregne,1798,STATE_1798,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=3,	 	resources = { 		coal = 2 # initial distribution / 140 total 	}
27,Bourgogne,27,STATE_27,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/8; bsr_source_count=1,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,1799,STATE_1799,merge,0.667,split+merge; province_overlap=2; tsr_overlap_rank=2/8; bsr_source_count=2,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,2043,STATE_2043,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/8; bsr_source_count=1,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,2018,STATE_2018,merge,0.667,split+merge; province_overlap=2; tsr_overlap_rank=4/8; bsr_source_count=2,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,2042,STATE_2042,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/8; bsr_source_count=1,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,1798,STATE_1798,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=6/8; bsr_source_count=3,	 	resources={ 		aluminium=11 # was: 18 	}
