bsr_state_id,bsr_state_name,tsr_state_id,tsr_state_name,issue
2,STATE_2,2,Latium,manpower distributed: 2781971 -> 695493 (ratio=0.250)
2,STATE_2,2,Latium,victory_points province 13432 not in BSR state 2
2,STATE_2,2,Latium,"province building 11751 not in BSR state 2, needs province remap"
2,STATE_2,2,Latium,"province building 13432 not in BSR state 2, needs province remap"
3,STATE_3,847,STATE_847,manpower distributed: 178429 -> 89214 (ratio=0.500)
3,STATE_3,847,STATE_847,TSR state 847 overlaid onto BSR state 3
3,STATE_3,847,STATE_847,merge owner/controller/cores copied from strongest overlap candidate; review political union manually
4,STATE_4,4,STATE_4,manpower distributed: 2297983 -> 1148992 (ratio=0.500)
4,STATE_4,4,STATE_4,resources distributed from TSR2 state 4 ratio=0.500
4,STATE_4,4,STATE_4,victory_points province 732 not in BSR state 4
5,STATE_5,5,STATE_5,manpower distributed: 1238108 -> 675332 (ratio=0.545)
6,Flanders,6,Flanders,manpower distributed: 2947700 -> 2210775 (ratio=0.750)
6,Flanders,6,Flanders,resources distributed from TSR2 state 6 ratio=0.750
6,Flanders,6,Flanders,victory_points province 516 not in BSR state 6
6,Flanders,6,Flanders,merge owner/controller/cores copied from strongest overlap candidate; review political union manually
7,STATE_7,7,STATE_7,manpower distributed: 4123000 -> 3298400 (ratio=0.800)
7,STATE_7,7,STATE_7,resources distributed from TSR2 state 7 ratio=0.800
7,STATE_7,7,STATE_7,victory_points province 9498 not in BSR state 7
7,STATE_7,7,STATE_7,"province building 9498 not in BSR state 7, needs province remap"
8,STATE_8,8,STATE_8,manpower distributed: 294748 -> 147374 (ratio=0.500)
8,STATE_8,8,STATE_8,resources distributed from TSR2 state 8 ratio=0.500
8,STATE_8,8,STATE_8,merge owner/controller/cores copied from strongest overlap candidate; review political union manually
9,STATE_9,9,STATE_9,manpower distributed: 4492600 -> 4171700 (ratio=0.929)
9,STATE_9,9,STATE_9,resources distributed from TSR2 state 9 ratio=0.929
10,STATE_10,10,STATE_10,manpower distributed: 3089000 -> 1029667 (ratio=0.333)
10,STATE_10,10,STATE_10,victory_points province 402 not in BSR state 10
10,STATE_10,10,STATE_10,merge owner/controller/cores copied from strongest overlap candidate; review political union manually
11,STATE_11,815,STATE_815,manpower distributed: 161450 -> 60544 (ratio=0.375)
11,STATE_11,815,STATE_815,TSR state 815 overlaid onto BSR state 11
11,STATE_11,815,STATE_815,victory_points province 6229 not in BSR state 11
11,STATE_11,815,STATE_815,merge owner/controller/cores copied from strongest overlap candidate; review political union manually
12,STATE_12,808,STATE_808,manpower distributed: 420250 -> 140083 (ratio=0.333)
12,STATE_12,808,STATE_808,resources distributed from TSR2 state 808 ratio=0.333
12,STATE_12,808,STATE_808,TSR state 808 overlaid onto BSR state 12
13,STATE_13,812,STATE_812,TSR state 812 overlaid onto BSR state 13
