bsr_state_id,bsr_state_name,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,selection_notes
1,Corsica,1,Corsica,same_id_same_area,1.000,1,province_overlap=3
2,STATE_2,2,Latium,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
3,STATE_3,847,STATE_847,merge,0.500,3,split+merge; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=3
4,STATE_4,4,STATE_4,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
5,STATE_5,5,STATE_5,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/4; bsr_source_count=1
6,Flanders,6,Flanders,merge,0.750,2,split+merge; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=2
7,STATE_7,7,STATE_7,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
8,STATE_8,8,STATE_8,merge,0.500,2,merge; province_overlap=1; bsr_source_count=2
9,STATE_9,9,STATE_9,split,0.929,2,split; province_overlap=13; tsr_overlap_rank=1/2; bsr_source_count=1
10,STATE_10,10,STATE_10,merge,0.500,3,split+merge; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=3
11,STATE_11,815,STATE_815,merge,0.600,2,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
12,STATE_12,808,STATE_808,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
13,STATE_13,812,STATE_812,merge,1.000,3,merge; province_overlap=4; bsr_source_count=3
14,STATE_14,14,STATE_14,split,0.900,1,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1
15,STATE_15,15,STATE_15,same_id_same_area,1.000,1,province_overlap=11
16,STATE_16,16,STATE_16,merge,0.667,2,split+merge; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=2
17,STATE_17,17,Lorraine,split,0.600,3,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1
18,STATE_18,1062,STATE_1062,split,0.750,2,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
19,STATE_19,19,STATE_19,merge,1.000,2,merge; province_overlap=5; bsr_source_count=2
20,STATE_20,20,Rhone,merge,0.833,2,split+merge; province_overlap=5; tsr_overlap_rank=1/7; bsr_source_count=2
21,STATE_21,21,Bouches-du-Rhône (Formerly Provence before Var split off),split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
22,Languedoc,22,Languedoc,split,0.750,1,split; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=1
23,STATE_23,23,STATE_23,merge,0.875,2,split+merge; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=2
24,STATE_24,24,STATE_24,merge,0.600,2,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
25,STATE_25,25,STATE_25,merge,0.923,3,split+merge; province_overlap=12; tsr_overlap_rank=1/2; bsr_source_count=3
26,STATE_26,26,Auveregne,split,1.000,1,split; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=1
