bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
855,STATE_855,north_america,378,STATE_378,split,0.800,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=5/13; bsr_source_count=1
1517,STATE_1517,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=13/13; bsr_source_count=1
1690,STATE_1690,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=4/13; bsr_source_count=1
1691,STATE_1691,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=6/13; bsr_source_count=1
1692,STATE_1692,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=8/13; bsr_source_count=1
1694,STATE_1694,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=3/13; bsr_source_count=1
1695,STATE_1695,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=7/13; bsr_source_count=1
1696,STATE_1696,north_america,378,STATE_378,split,1.000,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=11/13; bsr_source_count=1
1918,STATE_1918,asia,1073,STATE_1073,merge,0.833,2,11,5,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=5; tsr_overlap_rank=2/2; bsr_source_count=2
378,STATE_378,north_america,378,STATE_378,split,1.000,1,10,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=5; tsr_overlap_rank=2/13; bsr_source_count=1
887,STATE_887,europe,69,STATE_69,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1
