bsr_state_id,bsr_state_name,current_selected_tsr_state_id,current_selected_tsr_state_name,current_mapping_type,manual_decision,manual_tsr_state_id,reviewer_notes
1,Corsica,1,Corsica,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
2,STATE_2,2,Latium,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
3,STATE_3,847,STATE_847,merge,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve
4,STATE_4,4,STATE_4,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
5,STATE_5,5,STATE_5,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
6,Flanders,6,Flanders,merge,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve
7,STATE_7,7,STATE_7,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
8,STATE_8,8,STATE_8,merge,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve
9,STATE_9,9,STATE_9,split,approve_selected,,Phase4a: conf=0.929 owner/core conflict auto approve
10,STATE_10,10,STATE_10,merge,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve
11,STATE_11,815,STATE_815,merge,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve
12,STATE_12,808,STATE_808,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
13,STATE_13,812,STATE_812,merge,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
14,STATE_14,14,STATE_14,split,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve
15,STATE_15,15,STATE_15,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
16,STATE_16,16,STATE_16,merge,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve
17,STATE_17,17,Lorraine,split,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve
18,STATE_18,1062,STATE_1062,split,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve
19,STATE_19,19,STATE_19,merge,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
20,STATE_20,20,Rhone,merge,approve_selected,,Phase4c: conf=0.833 resource/building dist auto approve
21,STATE_21,21,Bouches-du-Rhône (Formerly Provence before Var split off),split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
22,Languedoc,22,Languedoc,split,approve_selected,,Phase4c: conf=0.75 resource/building dist auto approve
23,STATE_23,23,STATE_23,merge,approve_selected,,Phase4a: conf=0.875 owner/core conflict auto approve
24,STATE_24,24,STATE_24,merge,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve
25,STATE_25,25,STATE_25,merge,approve_selected,,Phase4c: conf=0.923 resource/building dist auto approve
26,STATE_26,26,Auveregne,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
27,STATE_27,27,Bourgogne,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
28,STATE_28,978,Baden,merge,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve
29,STATE_29,29,STATE_29,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
30,STATE_30,30,STATE_30,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
31,STATE_31,31,STATE_31,merge,approve_selected,,Phase4c: conf=0.909 resource/building dist auto approve
32,STATE_32,32,STATE_32,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
33,STATE_33,33,STATE_33,merge,approve_selected,,Phase4c: conf=0.778 resource/building dist auto approve
34,STATE_34,34,STATE_34,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
35,STATE_35,35,STATE_35,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
36,STATE_36,36,STATE_36,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
37,STATE_37,37,STATE_37,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
38,STATE_38,918,Västerbotten,merge,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
39,STATE_39,39,(South Tyrol) Alto Adige,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
40,Barnaul,40,Barnaul,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
41,STATE_41,41,STATE_41,split,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve
42,STATE_42,42,STATE_42,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
43,Northern Hungary,43,Northern Hungary,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
44,STATE_44,44,STATE_44,split,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve
45,STATE_45,45,STATE_45,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
46,STATE_46,46,Muntenia,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
47,STATE_47,47,Thessaly,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
48,STATE_48,48,STATE_48,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
49,STATE_49,49,Ankara,split,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve
50,STATE_50,50,Württemberg,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
51,STATE_51,51,STATE_51,split,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve
52,STATE_52,52,STATE_52,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
53,STATE_53,53,STATE_53,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
54,STATE_54,54,STATE_54,merge,approve_selected,,Phase4c: conf=0.875 resource/building dist auto approve
55,STATE_55,55,STATE_55,split,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve
56,STATE_56,56,STATE_56,merge,approve_selected,,Phase4c: conf=0.857 resource/building dist auto approve
57,STATE_57,57,STATE_57,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
58,STATE_58,58,STATE_58,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
59,STATE_59,58,STATE_58,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
60,STATE_60,60,STATE_60,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
61,STATE_61,61,STATE_61,merge,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
62,STATE_62,62,STATE_62,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
63,STATE_63,63,STATE_63,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
64,STATE_64,,,new_bsr_state,keep_bsr,,Phase1: new_bsr_state auto keep_bsr
65,STATE_65,65,STATE_65,split,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve
66,STATE_66,66,STATE_66,split,approve_selected,,Phase4c: conf=0.667 resource/building dist auto approve
67,STATE_67,67,STATE_67,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
68,STATE_68,68,STATE_68,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
69,STATE_69,69,STATE_69,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
70,STATE_70,70,STATE_70,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
71,STATE_71,71,STATE_71,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
72,STATE_72,72,STATE_72,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
73,STATE_73,73,STATE_73,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
74,STATE_74,74,STATE_74,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
75,STATE_75,75,STATE_75,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
76,STATE_76,76,STATE_76,split,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve
77,STATE_77,77,STATE_77,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
78,STATE_78,78,STATE_78,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
79,STATE_79,79,STATE_79,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
80,STATE_80,80,STATE_80,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
82,STATE_82,82,STATE_82,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
83,STATE_83,83,STATE_83,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
85,STATE_85,85,STATE_85,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
86,STATE_86,86,STATE_86,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
87,STATE_87,87,STATE_87,split,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve
88,STATE_88,88,STATE_88,split,approve_selected,,Phase5: low-conf auto approve (manual review recommended post-import)
89,STATE_89,89,STATE_89,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
90,STATE_90,90,Kielce,merge,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve
91,Lwow,91,Lwow,merge,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve
92,STATE_92,92,STATE_92,merge,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve
93,STATE_93,93,STATE_93,split,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve
94,STATE_94,94,STATE_94,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
95,STATE_95,95,STATE_95,merge,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve
96,STATE_96,96,STATE_96,merge,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve
97,STATE_97,97,STATE_97,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
98,STATE_98,98,STATE_98,split,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve
99,STATE_99,99,STATE_99,split,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve
100,STATE_100,100,STATE_100,split,approve_selected,,Phase4c: conf=0.167 resource/building dist auto approve
101,STATE_101,101,STATE_101,split,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve
102,STATE_102,853,STATE_853,same_name,approve_selected,,Phase2: conf=1.0 issues=1 auto approve
103,STATE_103,103,Dalmatia,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
104,STATE_104,104,STATE_104,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
105,STATE_105,105,STATE_105,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
106,STATE_106,106,STATE_106,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
107,STATE_107,107,STATE_107,merge,approve_selected,,Phase4a: conf=0.875 owner/core conflict auto approve
108,STATE_108,802,STATE_802,merge,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve
109,STATE_109,109,Croatia,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
110,STATE_110,110,STATE_110,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
111,Uusimaa,111,UUSIMA,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
113,Leinster,113,Leinster,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
114,STATE_114,114,STATE_114,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
115,STATE_115,115,STATE_115,same_id_same_area,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve
116,STATE_116,116,STATE_116,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
117,STATE_117,117,Campania,merge,approve_selected,,Phase4a: conf=0.833 owner/core conflict auto approve
118,STATE_118,118,STATE_118,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
119,STATE_119,119,STATE_119,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
123,STATE_123,123,STATE_123,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
126,STATE_126,126,STATE_126,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
127,Sussex,127,Sussex,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
128,STATE_128,128,STATE_128,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
129,STATE_129,129,STATE_129,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
130,STATE_130,130,STATE_130,merge,approve_selected,,Phase4c: conf=0.667 resource/building dist auto approve
132,Lancashire,132,Lancashire,merge,approve_selected,,Phase4c: conf=0.75 resource/building dist auto approve
134,STATE_134,134,STATE_134,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
137,STATE_137,137,STATE_137,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
138,STATE_138,138,STATE_138,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
139,STATE_139,139,STATE_139,merge,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
140,STATE_140,140,Västra Götaland,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
141,STATE_141,141,Svealand,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
142,STATE_142,142,STATE_142,merge,approve_selected,,Phase4a: conf=0.895 owner/core conflict auto approve
143,STATE_143,143,STATE_143,merge,approve_selected,,Phase4a: conf=0.941 owner/core conflict auto approve
144,STATE_144,925,STATE_925,merge,approve_selected,,Phase4a: conf=0.882 owner/core conflict auto approve
145,STATE_145,145,ÅLAND,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
146,STATE_146,146,KARJALA,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
147,STATE_147,147,SALLA,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
148,STATE_148,148,LAPPI,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
149,Pohjanmaa,149,VAASA,merge,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve
150,Savo,150,KUOPIO,merge,approve_selected,,Phase4b: conf=0.688 owner/core conflict auto approve
151,STATE_151,151,STATE_151,merge,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve
152,STATE_152,152,STATE_152,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
153,STATE_153,153,STATE_153,merge,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve
154,STATE_154,154,STATE_154,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
155,STATE_155,155,North Transdanubia,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
156,STATE_156,156,STATE_156,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
157,STATE_157,157,STATE_157,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
158,STATE_158,158,STATE_158,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
159,STATE_159,159,STATE_159,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
160,STATE_160,160,STATE_160,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
161,STATE_161,161,STATE_161,split,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve
162,STATE_162,162,STATE_162,split,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
163,STATE_163,,,new_bsr_state,keep_bsr,,Phase1: new_bsr_state auto keep_bsr
164,STATE_164,164,STATE_164,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
166,STATE_166,166,STATE_166,split,approve_selected,,Phase3: conf=1.0 issues=4 auto approve
168,STATE_168,168,STATE_168,split,approve_selected,,Phase2: conf=1.0 issues=2 auto approve
169,STATE_169,169,STATE_169,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
170,STATE_170,170,STATE_170,split,approve_selected,,Phase4c: conf=0.917 resource/building dist auto approve
171,STATE_171,171,STATE_171,merge,approve_selected,,Phase3: conf=1.0 issues=3 auto approve
173,STATE_173,173,STATE_173,same_id_same_area,approve_selected,,Phase2: conf=1.0 issues=0 auto approve
